"X...BYLINE"	"DATE"	"DATELINE"	"HEADLINE"	"LENGTH"	"PUBLICATION"	"SECTION"	"TITLE"	"X"
"1"	"Peter Vermaas"	"14 november 2015 zaterdag"	NA	"  Frans horrorscenario komt uit"	"867 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"2"	"caroline de gruyter"	"14 november 2015 zaterdag"	NA	"De hoge prijs van regime change in Syrië "	"614 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"3"	""	"16 november 2015 maandag"	NA	"Aanslagen  vergen krachtige maar ook rationele reactie.."	"452 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"4"	""	"16 november 2015 maandag"	NA	"'Ik dacht eerst dat het bij de show hoorde'"	"1369 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"5"	"Toon Beemsterboer"	"16 november 2015 maandag"	NA	" IS lijkt vizier op Europa te richten"	"760 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"6"	"Annemarie Kas"	"16 november 2015 maandag"	NA	"Nu zegt Rutte het ineens wel: Nederland is in oorlog met IS "	"563 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"7"	"René Moerland"	"16 november 2015 maandag"	NA	"Syrië wordt steeds meer  ook een Europese oorlog"	"812 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"8"	""	"16 november 2015 maandag"	NA	"[De Iraakse inlichtingendiensten hebben landen van ...]*"	"255 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"9"	""	"16 november 2015 maandag"	NA	"[Na 'Parijs' zien wij geen politieke ruimte meer om...]*"	"84 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"10"	""	"16 november 2015 maandag"	NA	"[Frankrijk heeft zondag in reactie op de aanslagen ...]*"	"132 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"11"	""	"17 november 2015 dinsdag"	NA	"Overhaaste militaire actie  geen oplossing voor terrorisme"	"433 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"12"	""	"17 november 2015 dinsdag"	NA	"[Toon BeemsterboerHoe heeft  Islamitische Staat zic...]*"	"1167 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"13"	""	"17 november 2015 dinsdag"	NA	"[Folkert JensmaEmilie van OuterenWat betekent het d...]*"	"521 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"14"	""	"17 november 2015 dinsdag"	NA	"[Annemarie Kas Zitten er terroristen  onder de vluc...]*"	"467 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"15"	""	"17 november 2015 dinsdag"	NA	"[Militaire denkers VS adviseren troepen op de grond...]*"	"584 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"16"	""	"17 november 2015 dinsdag"	NA	"[President Obama verwees gisteren tijdens de G20  i...]*"	"150 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"17"	""	"17 november 2015 dinsdag"	NA	"[Frankrijk manifesteert zich  nadrukkelijker met in...]*"	"541 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"18"	""	"17 november 2015 dinsdag"	NA	"'We zegevierden over geduchtere vijanden'"	"987 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"19"	"Peter Vermaas"	"17 november 2015 dinsdag"	NA	"Staat Frankrijk er nu alleen voor?"	"640 woorden"	"NRC Handelsblad"	"Voorpagina; Blz. 1"	NA	NA
"20"	""	"17 november 2015 dinsdag"	NA	"[De Franse regering wil bij  alle treinstations in ...]*"	"132 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
"21"	"Youssef Azghari"	"17 november 2015 dinsdag"	NA	" Wat moslims moeten met IS"	"575 woorden"	"NRC Handelsblad"	"In het nieuws"	NA	NA
