"�.�BYLINE"	"DATE"	"DATELINE"	"HEADLINE"	"LENGTH"	"PUBLICATION"	"SECTION"	"TITLE"	"X"
"1"	"By ALISON SMALE and MELISSA EDDY"	"January 7, 2015 Wednesday"	NA	"Anti-Immigration Movement in Germany Reignites Debate Over National Identity"	"1119 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 8"	NA	NA
"2"	"By TIM ARANGO"	"January 7, 2015 Wednesday"	NA	"U.S. Forces, Returning to Iraq, Encounter the Things Their Comrades Carried"	"890 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; CAMP TAJI JOURNAL; Pg. 4"	NA	NA
"3"	"By HELENE COOPER"	"January 7, 2015 Wednesday"	NA	"Reports of Civilian Deaths Prompt Inquiry Into Strikes"	"459 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 9"	NA	NA
"4"	"By RUKMINI CALLIMACHI and ALISON SMALE"	"January 8, 2015 Thursday"	NA	"Experts Assessing Parisian Assault Unsure of Assailants' Terror Links"	"743 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"5"	"By DOREEN CARVAJAL and SUZANNE DALEY"	"January 8, 2015 Thursday"	NA	"Proud to Offend, Paper Carries Torch of Political Provocation"	"1014 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"6"	"By STEVEN ERLANGER and KATRIN BENNHOLD; Rachel Donadio and Aurelien Breeden contributed reporting from Paris, and Alison Smale from Berlin."	"January 8, 2015 Thursday"	NA	"'Dangerous Moment' for Europe as Fear and Resentment Grow"	"1521 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"7"	"By DAN BILEFSKY and MAÏA de la BAUME; Aurelien Breeden and Laure Fourquet contributed reporting from Paris, and Michael S. Schmidt from Washington."	"January 8, 2015 Thursday"	NA	"Terrorists Strike Paris Newspaper, Leaving 12 Dead"	"1537 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"8"	"By THE EDITORIAL BOARD"	"January 8, 2015 Thursday"	NA	"The Massacre in Paris"	"595 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 22"	NA	NA
"9"	"DAVID BORNSTEIN"	"January 8, 2015 Thursday"	NA	"The News We Need to Hear"	"1627 words"	"The New York Times Blogs(Opinionator)"	"OPINION"	NA	NA
"10"	"By REUTERS"	"January 9, 2015 Friday"	NA	"Syria: Militants Destroy Tomb of 13th-Century Scholar"	"87 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; WORLD BRIEFING; Pg. 6"	NA	NA
"11"	"By DAVID D. KIRKPATRICK; Merna Thomas contributed reporting."	"January 9, 2015 Friday"	NA	"Raising Questions Within Islam"	"1645 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"12"	"By ALAN COWELL"	"January 9, 2015 Friday"	NA	"No Safety for Christians in the Mideast"	"675 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; LETTER FROM EUROPE; Pg. "	NA	NA
"13"	"By AURELIEN BREEDEN"	"January 9, 2015 Friday"	NA	"Slain French Police Officer Inspires New Protest Refrain: 'I Am Ahmed'"	"722 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 8"	NA	NA
"14"	"By LIZ ALDERMAN; Laure Fourquet and Karine Granier-Deferre contributed reporting."	"January 9, 2015 Friday"	NA	"A Bustling Office, Then a 'Vision of Horror'"	"1194 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"15"	"By RACHEL DONADIO"	"January 9, 2015 Friday"	NA	"Authors Tap Into Mood of a France 'Homesick at Home'"	"1406 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 4"	NA	NA
"16"	"By ERIC SCHMITT, MICHAEL S. SCHMIDT and ANDREW HIGGINS; Eric Schmitt and Michael S. Schmidt reported from Washington, and Andrew Higgins from Paris. Assia Labbas and Aida Alami contributed reporting from Paris, and Carlotta Gall from Algiers."	"January 9, 2015 Friday"	NA	"Al Qaeda Trained Paris Suspect, Official Says"	"1490 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"17"	"THE NEW YORK TIMES"	"January 9, 2015 Friday"	NA	"Paris Attack Updates, Day 3: Two Hostage Situations"	"8861 words"	"The New York Times Blogs(News)"	""	NA	NA
"18"	"DAVID D. KIRKPATRICK"	"January 9, 2015 Friday"	NA	"A Reporter Treads Carefully When Writing About Religion and Violence"	"538 words"	"The New York Times Blogs(Times Insider)"	""	NA	NA
"19"	"MARIE TESSIER"	"January 9, 2015 Friday"	NA	"Readers Respond: On Islam and the Charlie Hebdo Shootings"	"805 words"	"The New York Times Blogs(Op-Talk)"	"OPINION"	NA	NA
"20"	"By TIMOTHY WILLIAMS"	"January 10, 2015 Saturday"	NA	"Chicago Man Is Indicted on Charge of Trying to Aid ISIS"	"475 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 3"	NA	NA
"21"	"By MARK MAZZETTI; Michael D. Shear contributed reporting."	"January 10, 2015 Saturday"	NA	"Reaching Outside C.I.A., Obama Calls on Treasury Official to Become Agency's No. 2"	"490 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"22"	"By ANNE BARNARD; Hwaida Saad contributed reporting."	"January 10, 2015 Saturday"	NA	"Extremists Harming Islam, Leader of Hezbollah Says"	"532 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"23"	"By SYLVIE KAUFFMANN"	"January 10, 2015 Saturday"	NA	"An Assault on the French Identity"	"1098 words"	"The New York Times"	"Section ; Column 0; OpEd; CONTRIBUTING OP-ED WRITER; Pg. "	NA	NA
"24"	"By JODI RUDOREN"	"January 10, 2015 Saturday"	NA	"Israelis Link Attacks to Their Own Struggles"	"1076 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"25"	"By ANDREW HIGGINS and DAN BILEFSKY; Reporting was contributed by David Jolly from Dammartin-en-Goële, France, and Maïa de la Baume, Aurelien Breeden, Nicola Clark and Rukmini Callimachi from Paris."	"January 10, 2015 Saturday"	NA	"French Gunmen Die in Raids"	"1724 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"26"	"By BEN HUBBARD"	"January 10, 2015 Saturday"	NA	"Saudis Begin Public Caning to Punish a Blogger"	"488 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 4"	NA	NA
"27"	"By ROSS DOUTHAT. In 2015, Thomas L. Friedman will be writing only on Wednesdays while he works on a book."	"January 11, 2015 Sunday"	NA	"France, the Crucible of Europe"	"834 words"	"The New York Times"	"Section SR; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 11"	NA	NA
"28"	"By SOMINI SENGUPTA. The United Nations correspondent for The New York Times."	"January 11, 2015 Sunday"	NA	"Is the War Crimes Court Still Relevant?"	"1024 words"	"The New York Times"	"Section SR; Column 0; Sunday Review Desk; NEWS ANALYSIS; Pg. 4"	NA	NA
"29"	"By BEN HUBBARD; Hwaida Saad and Mohammed Ghannam contributed reporting from Beirut, and Karam Shoumali from Istanbul."	"January 11, 2015 Sunday"	NA	"Jihadists and Supporters Take to Social Media to Praise Attack on Charlie Hebdo"	"760 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 11"	NA	NA
