"X...BYLINE"	"DATE"	"DATELINE"	"HEADLINE"	"LENGTH"	"PUBLICATION"	"SECTION"	"TITLE"	"X"
"1"	"By LILIA BLAISE; Benoît Morenne contributed reporting."	"March 22, 2016 Tuesday"	NA	"Belgian Police Name Man Suspected of Being Salah Abdeslam's Accomplice"	"628 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"2"	""	"March 22, 2016 Tuesday"	NA	"Corrections"	"58 words"	"The New York Times"	"Section A; Column 0; Metropolitan Desk; Pg. 2"	NA	NA
"3"	""	"March 22, 2016 Tuesday"	NA	"Names of the Dead"	"49 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 8"	NA	NA
"4"	"By THE EDITORIAL BOARD"	"March 22, 2016 Tuesday"	NA	"The Kurds' Push for Self-Rule in Syria"	"507 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 24"	NA	NA
"5"	"By ALISSA J. RUBIN; Milan Schreuer and Aurelien Breeden contributed reporting from Brussels, and Lilia Blaise from Paris."	"March 22, 2016 Tuesday"	NA	"After Manhunt, Scrutiny of Brussels as Hiding Place"	"1579 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 9"	NA	NA
"6"	"By MICHAEL S. SCHMIDT"	"March 22, 2016 Tuesday"	NA	"Marine Base in North Iraq Is Confirmed by Pentagon"	"648 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 8"	NA	NA
"7"	""	"March 23, 2016 Wednesday"	NA	"Reeling From the Horror in Brussels"	"534 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; LETTERS; Pg. 22"	NA	NA
"8"	"By MARK MAZZETTI; Eric Schmitt and Scott Shane contributed reporting."	"March 23, 2016 Wednesday"	NA	"Porous Borders and Calcified Security Aid Islamic State in Europe"	"1100 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 8"	NA	NA
"9"	"By MATTHEW LEVITT. Matthew Levitt is the director of the counterterrorism program at the Washington Institute for Near East Policy."	"March 23, 2016 Wednesday"	NA	"Brussels Attacks Raise Questions on Readiness"	"707 words"	"The New York Times"	"Section ; Column 0; OpEd; OP-ED CONTRIBUTOR; Pg. "	NA	NA
"10"	"By RUKMINI CALLIMACHI"	"March 23, 2016 Wednesday"	NA	"In a Blurry Surveillance Photo, Lessons About Tactics Used by ISIS Operatives"	"782 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 8"	NA	NA
"11"	"By MICHAEL S. SCHMIDT"	"March 23, 2016 Wednesday"	NA	"U.S. Strike in Yemen Kills Dozens in Qaeda Affiliate, Officials Say"	"310 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 3"	NA	NA
"12"	"By ADAM NOSSITER"	"March 23, 2016 Wednesday"	NA	"Strikes Heighten Fear of Intelligence Failures"	"1304 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"13"	"By THE EDITORIAL BOARD"	"March 23, 2016 Wednesday"	NA	"The Long Fight Against Terrorism"	"650 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 22"	NA	NA
"14"	"By ALAN RAPPEPORT; David E. Sanger contributed reporting."	"March 23, 2016 Wednesday"	NA	"Top Experts Confounded by Advisers to Trump"	"1064 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 14"	NA	NA
"15"	"By ANNE BARNARD; Reporting was contributed by Hwaida Saad and an employee of The New York Times in Damascus."	"March 23, 2016 Wednesday"	NA	"Assad May Bet That Russia and West Need Him More Than He Needs Them"	"1641 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"16"	"By ALISSA J. RUBIN, AURELIEN BREEDEN and ANITA RAGHAVAN; Reporting was contributed by Dan Bilefsky and James Kanter from Brussels; Prashant Rao from London; Lilia Blaise, Nicola Clark, Benoît Morenne and Milan Schreuer from Paris; Rukmini Callimachi and Rick Gladstone from New York; and Julie Hirschfeld Davis from Havana."	"March 23, 2016 Wednesday"	NA	"Brussels Attacks Shake European Security"	"1688 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"17"	"By DAVID E. SANGER and MAGGIE HABERMAN; Amy Chozick contributed reporting from Everett, Wash., and Matt Flegenheimer and Thomas Kaplan from New York."	"March 23, 2016 Wednesday"	NA	"In Campaign, Walking a Tightrope Over the Fight Against ISIS"	"1312 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; THE CAMPAIGN; Pg. 1"	NA	NA
"18"	"By ROGER COHEN"	"March 23, 2016 Wednesday"	NA	"Europe Is Struck at Its Heart"	"883 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 23"	NA	NA
"19"	"By STEVEN ERLANGER; Melissa Eddy and Alison Smale contributed reporting from Berlin, and Jim Yardley from Lesbos, Greece."	"March 23, 2016 Wednesday"	NA	"Bombings Fuel Debate Over Migrants in a Fractured Europe"	"1263 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 7"	NA	NA
"20"	"By THOMAS L. FRIEDMAN"	"March 23, 2016 Wednesday"	NA	"Does Obama Have This Right?"	"900 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 23"	NA	NA
"21"	"By VICTORIA SHANNON"	"March 23, 2016 Wednesday"	NA	"Brussels Attacks: What We Know and Don't Know"	"626 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"22"	"By JOCHEN BITTNER. Jochen Bittner is a political editor for the weekly newspaper Die Zeit and a contributing opinion writer."	"March 24, 2016 Thursday"	NA	"Europe, After Brussels"	"867 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; CONTRIBUTING OP-ED WRITER; Pg. 27"	NA	NA
"23"	""	"March 24, 2016 Thursday"	NA	"Voices From Brussels and America"	"793 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; LETTERS; Pg. 26"	NA	NA
"24"	"By JIM YARDLEY, RUKMINI CALLIMACHI and SCOTT SHANE; Benedict Carey contributed reporting from New York, and Kimiko De Freytas-Tamura from Brussels."	"March 24, 2016 Thursday"	NA	"As Siblings Again Unite to Unleash Terror, Experts Ask What Drives Them"	"1585 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; IDEAL RECRUITS; Pg. 1"	NA	NA
"25"	"By STEVEN ERLANGER"	"March 24, 2016 Thursday"	NA	"Europe Faces Challenge of Fighting ISIS Within Its Borders"	"1219 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
