"X...BYLINE"	"DATE"	"DATELINE"	"HEADLINE"	"LENGTH"	"PUBLICATION"	"SECTION"	"TITLE"	"X"
"1"	"By NICHOLAS CONFESSORE; Maggie Haberman and Kitty Bennett contributed reporting."	"July 14, 2016 Thursday"	NA	"Trump Mines Grievances of Whites Who Feel Lost"	"3858 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 1"	NA	NA
"2"	"By STEVEN SIMON and JONATHAN STEVENSON. Steven Simon, a professor at Amherst College, was the National Security Council's senior director for the Middle East and North Africa from 2011 through 2012. Jonathan Stevenson was the National Security Council's director for political-military affairs, Middle East and North Africa, from 2011 to 2013."	"July 14, 2016 Thursday"	NA	"Don't listen to the interventionists"	"1031 words"	"The New York Times"	"Section ; Column 0; OpEd; OP-ED CONTRIBUTORS; Pg. "	NA	NA
"3"	"By THE EDITORIAL BOARD"	"July 14, 2016 Thursday"	NA	"Active Protesters, Armed in Cleveland"	"710 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 26"	NA	NA
"4"	"By ALISSA J. RUBIN, ADAM NOSSITER and CHRISTOPHER MELE; Alissa J. Rubin and Adam Nossiter reported from Paris, and Christopher Mele from New York. Reporting was contributed by Andrew Higgins from Nice, France; Aurelien Breeden, Lilia Blaise and Liz Alderman from Paris; Sewell Chan and Kimiko de Freytas-Tamura from London; and Rukmini Callimachi and Rick Gladstone from New York."	"July 15, 2016 Friday"	NA	"Truck Attack on French Crowd; Scores Die"	"1115 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"5"	"By THE EDITORIAL BOARD"	"July 15, 2016 Friday"	NA	"Keeping NATO Relevant and United"	"699 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; EDITORIAL; Pg. 24"	NA	NA
"6"	"By HOLLAND COTTER"	"July 15, 2016 Friday"	NA	"John Akomfrah"	"381 words"	"The New York Times"	"Section C; Column 0; Movies, Performing Arts/Weekend Desk; Pg. 19"	NA	NA
"7"	""	"July 15, 2016 Friday"	NA	"Art in Review"	"918 words"	"The New York Times"	"Section C; Column 0; Movies, Performing Arts/Weekend Desk; Pg. 19"	NA	NA
"8"	"By GARDINER HARRIS and ANNE BARNARD; Gardiner Harris reported from Moscow, and Anne Barnard from Beirut, Lebanon. Julie Hirschfeld Davis contributed reporting from Washington."	"July 15, 2016 Friday"	NA	"Kerry Meets Putin to Talk Cooperation on Syria"	"1232 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 4"	NA	NA
"9"	""	"July 16, 2016 Saturday"	NA	"Terror by Truck: The Massacre in Nice"	"523 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; LETTERS; Pg. 20"	NA	NA
"10"	"By ALI H. SOUFAN. Ali H. Soufan is a former F.B.I. special agent and the author of ''The Black Banners: The Inside Story of 9/11 and the War Against al-Qaeda.''"	"July 16, 2016 Saturday"	NA	"Can We Stop Terror-by-Truck?"	"877 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; OP-ED CONTRIBUTOR; Pg. 21"	NA	NA
