"�.�BYLINE"	"DATE"	"DATELINE"	"HEADLINE"	"LENGTH"	"PUBLICATION"	"SECTION"	"TITLE"	"X"
"1"	"By MICHAEL R. GORDON and ERIC SCHMITT; Michael R. Gordon reported from Erbil, and Eric Schmitt from Qatar and Washington."	"November 13, 2015 Friday"	NA	"U.S. Steps Up Its Attacks on ISIS-Controlled Oil Fields in Syria"	"1019 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 13"	NA	NA
"2"	"By ANNE BARNARD; Hwaida Saad and Maher Samaan contributed reporting."	"November 13, 2015 Friday"	NA	"A Refugee Crisis in Lebanon Hides in Plain Sight"	"1335 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"3"	"By ROGER COHEN. You can follow me on Twitter or join me on Facebook."	"November 13, 2015 Friday"	NA	"Turkey Haunted by Its Ghosts"	"853 words"	"The New York Times"	"Section ; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. "	NA	NA
"4"	"By ERIC SCHMITT"	"November 13, 2015 Friday"	NA	"Pentagon Says It Targeted 'Jihadi John'"	"334 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 8"	NA	NA
"5"	"By SOMINI SENGUPTA"	"November 13, 2015 Friday"	NA	"Kerry Tempers Expectations for Syria Talks"	"504 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
"6"	"By ANNE BARNARD and HWAIDA SAAD; Rick Gladstone contributed reporting from New York."	"November 13, 2015 Friday"	NA	"ISIS Claims Responsibility for Blasts That Killed Dozens in Beirut"	"841 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"7"	"By ERIC LICHTBLAU"	"November 13, 2015 Friday"	NA	"Ohio Man Arrested After Social Posts Urging Killing of Military Members"	"886 words"	"The New York Times"	"Section A; Column 0; National Desk; Pg. 16"	NA	NA
"8"	"By MICHAEL R. GORDON and RUKMINI CALLIMACHI; Eric Schmitt contributed reporting from Washington."	"November 13, 2015 Friday"	NA	"Kurds Take Back Strategic Road in Iraq From ISIS"	"1404 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 1"	NA	NA
"9"	"By RUSSELL GOLDMAN"	"November 13, 2015 Friday"	NA	"Regional Newspapers Weigh In on Syria Talks"	"426 words"	"The New York Times"	"Section ; Column 0; Foreign Desk; Pg. "	NA	NA
"10"	"By GAIA PIANIGIANI; Sewell Chan contributed reporting from London, and Henrik Pryser Libell from Oslo."	"November 13, 2015 Friday"	NA	"15 Are Arrested in Coordinated Antiterrorism Raids Across Europe, Officials Say"	"752 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 12"	NA	NA
"11"	"By ANDREW E. KRAMER"	"November 13, 2015 Friday"	NA	"World Briefing | Asia; Uzbekistan: Political Prisoner Is Freed"	"512 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 8"	NA	NA
"12"	"MAGGIE HABERMAN"	"November 13, 2015 Friday"	NA	"Donald Trump Asks Iowans: 'How Stupid' Are They to Believe Ben Carson?"	"852 words"	"The New York Times Blogs(First Draft)"	"US; politics"	NA	NA
"13"	"By CEYLAN YEGINSU; Tim Arango contributed reporting from Istanbul."	"November 14, 2015 Saturday"	NA	"Turkey Polishes Its Silver and Its Image for Global Meeting"	"1127 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 4"	NA	NA
"14"	"By THE ASSOCIATED PRESS"	"November 14, 2015 Saturday"	NA	"Middle East; Iraq: Explosions Kill 26 in Baghdad"	"138 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; WORLD BRIEFING; Pg. 6"	NA	NA
"15"	"By ROGER COHEN. You can follow me on Twitter or join me on Facebook."	"November 14, 2015 Saturday"	NA	"Turkey Haunted by Its Ghosts"	"853 words"	"The New York Times"	"Section A; Column 0; Editorial Desk; OP-ED COLUMNIST; Pg. 23"	NA	NA
"16"	""	"November 14, 2015 Saturday"	NA	"Corrections"	"54 words"	"The New York Times"	"Section A; Column 0; Metropolitan Desk; Pg. 2"	NA	NA
"17"	"By PATRICK CHAPPATTE. Patrick Chappatte is an editorial cartoonist for The International New York Times. View more of his work, visit his website or follow him on Twitter."	"November 14, 2015 Saturday"	NA	"Editorial Cartoon"	"25 words"	"The New York Times"	"Section ; Column 0; OpEd; OP-ED COLUMNIST; Pg. "	NA	NA
"18"	"By SEWELL CHAN and KIMIKO DE FREYTAS-TAMURA; Julie Hirschfeld Davis, Eric Schmitt and Charlie Savage contributed reporting."	"November 14, 2015 Saturday"	NA	"'Jihadi John' Likely Killed in Airstrike on ISIS Stronghold, Pentagon Says"	"1312 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 6"	NA	NA
"19"	"By TIM ARANGO; Omar al-Jawoshy and Falih Hassan contributed reporting from Baghdad, and Andrew E. Kramer from Moscow."	"November 14, 2015 Saturday"	NA	"Victory Bolsters Kurds, but Not U.S.-Iraq Ties"	"1274 words"	"The New York Times"	"Section A; Column 0; Foreign Desk; Pg. 10"	NA	NA
